Participant,Chatbot_Type,Relevance,Coherence,Ambiguity_Handling,User_Satisfaction
1,Centralized_RAG,4,4,5,5
2,Centralized_RAG,7,6,7,6
3,Centralized_RAG,9,9,9,8
4,Centralized_RAG,8,8,8,8
5,Centralized_RAG,8,8,7,9
6,Centralized_RAG,10,10,10,10
7,Centralized_RAG,10,10,7,10
8,Centralized_RAG,5,5,5,5
9,Centralized_RAG,9,9,8,9
10,Centralized_RAG,7,7,7,7
1,Federated_RAG,8,8,5,9
2,Federated_RAG,7,8,8,7
3,Federated_RAG,10,8,9,9
4,Federated_RAG,9,9,9,9
5,Federated_RAG,9,9,8,9
6,Federated_RAG,10,10,10,10
7,Federated_RAG,6,6,10,8
8,Federated_RAG,5,5,5,5
9,Federated_RAG,9,9,9,10
10,Federated_RAG,10,10,10,10
1,Retrieval_Based,7,7,5,8
2,Retrieval_Based,7,6,8,7
3,Retrieval_Based,9,8,9,9
4,Retrieval_Based,6,6,6,6
5,Retrieval_Based,9,9,7,9
6,Retrieval_Based,10,10,10,10
7,Retrieval_Based,2,8,1,5
8,Retrieval_Based,5,5,5,5
9,Retrieval_Based,8,7,7,8
10,Retrieval_Based,9,9,9,9

